,av_transaction_size,hashrate,date,difficulty,median_transaction_value,sent_addresses,market_cap,av_transaction_value,transactions,confirmation_time,block_size,top_100_percent,active_addresses,median_transaction_size,google_trends,fee_reward,mining_profitability,tweets,send_usd,full_name,coin
336,,,2009/12/05,,,,,,,,,,,,,,,,,namecoin,nmc
337,,,2009/12/06,,,,,,,,,,,,,,,,,namecoin,nmc
338,,,2009/12/07,,,,,,,,,,,,,,,,,namecoin,nmc
339,,,2009/12/08,,,,,,,,,,,,,,,,,namecoin,nmc
340,,,2009/12/09,,,,,,,,,,,,,,,,,namecoin,nmc
341,,,2009/12/10,,,,,,,,,,,,,,,,,namecoin,nmc
342,,,2009/12/11,,,,,,,,,,,,,,,,,namecoin,nmc
343,,,2009/12/12,,,,,,,,,,,,,,,,,namecoin,nmc
344,,,2009/12/13,,,,,,,,,,,,,,,,,namecoin,nmc
345,,,2009/12/14,,,,,,,,,,,,,,,,,namecoin,nmc
346,,,2009/12/15,,,,,,,,,,,,,,,,,namecoin,nmc
347,,,2009/12/16,,,,,,,,,,,,,,,,,namecoin,nmc
348,,,2009/12/17,,,,,,,,,,,,,,,,,namecoin,nmc
349,,,2009/12/18,,,,,,,,,,,,,,,,,namecoin,nmc
350,,,2009/12/19,,,,,,,,,,,,,,,,,namecoin,nmc
351,,,2009/12/20,,,,,,,,,,,,,,,,,namecoin,nmc
352,,,2009/12/21,,,,,,,,,,,,,,,,,namecoin,nmc
353,,,2009/12/22,,,,,,,,,,,,,,,,,namecoin,nmc
354,,,2009/12/23,,,,,,,,,,,,,,,,,namecoin,nmc
355,,,2009/12/24,,,,,,,,,,,,,,,,,namecoin,nmc
356,,,2009/12/25,,,,,,,,,,,,,,,,,namecoin,nmc
357,,,2009/12/26,,,,,,,,,,,,,,,,,namecoin,nmc
358,,,2009/12/27,,,,,,,,,,,,,,,,,namecoin,nmc
359,,,2009/12/28,,,,,,,,,,,,,,,,,namecoin,nmc
360,,,2009/12/29,,,,,,,,,,,,,,,,,namecoin,nmc
361,,,2009/12/30,,,,,,,,,,,,,,,,,namecoin,nmc
362,,,2009/12/31,,,,,,,,,,,,,,,,,namecoin,nmc
363,,,2010/01/01,,,,,,,,,,,,,,,,,namecoin,nmc
364,,,2010/01/02,,,,,,,,,,,,,,,,,namecoin,nmc
