,date,transactions,sent_addresses,mining_profitability,send_usd,median_transaction_size,active_addresses,difficulty,hashrate,fee_reward,block_size,market_cap,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,tweets,top_100_percent,google_trends,full_name,coin
337,2009/12/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
338,2009/12/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
339,2009/12/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
340,2009/12/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
341,2009/12/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
342,2009/12/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
343,2009/12/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
344,2009/12/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
345,2009/12/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
346,2009/12/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
347,2009/12/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
348,2009/12/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
349,2009/12/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
350,2009/12/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
351,2009/12/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
352,2009/12/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
353,2009/12/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
354,2009/12/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
