,block_size,active_addresses,transactions,sent_addresses,fee_reward,difficulty,hashrate,send_usd,mining_profitability,median_transaction_size,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,google_trends,top_100_percent,date,tweets,market_cap,full_name,coin
332,,,,,,,,,,,,,,,,,2015/04/09,null,,siacoin,siacoin
333,,,,,,,,,,,,,,,,,2015/04/10,null,,siacoin,siacoin
334,,,,,,,,,,,,,,,,,2015/04/11,null,,siacoin,siacoin
335,,,,,,,,,,,,,,,,,2015/04/12,null,,siacoin,siacoin
336,,,,,,,,,,,,,,,,,2015/04/13,null,,siacoin,siacoin
337,,,,,,,,,,,,,,,,,2015/04/14,null,,siacoin,siacoin
338,,,,,,,,,,,,,,,,,2015/04/15,null,,siacoin,siacoin
339,,,,,,,,,,,,,,,,,2015/04/16,null,,siacoin,siacoin
340,,,,,,,,,,,,,,,,,2015/04/17,null,,siacoin,siacoin
341,,,,,,,,,,,,,,,,,2015/04/18,null,,siacoin,siacoin
