,transactions,sent_addresses,block_size,hashrate,difficulty,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,av_transaction_value,google_trends,median_transaction_value,active_addresses,top_100_percent,fee_reward,date,tweets,market_cap,full_name,coin
295,,,,,,,,,,,,,,,,,2015/03/22,44,379881,vericoin,vericoin
296,,,,,,,,,,,,,,,,,2015/03/23,32,366046,vericoin,vericoin
297,,,,,,,,,,,,,,,,,2015/03/24,46,341273,vericoin,vericoin
298,,,,,,,,,,,,,,,,,2015/03/25,67,318939,vericoin,vericoin
299,,,,,,,,,,,,,,,,,2015/03/26,47,325082,vericoin,vericoin
300,,,,,,,,,,,,,,,,,2015/03/27,34,319107,vericoin,vericoin
301,,,,,,,,,,,,,,,,,2015/03/28,59,337782,vericoin,vericoin
302,,,,,,,,,,,,,,,,,2015/03/29,37,354528,vericoin,vericoin
303,,,,,,,,,,,,,,,,,2015/03/30,49,356597,vericoin,vericoin
304,,,,,,,,,,,,,,,,,2015/03/31,79,361000,vericoin,vericoin
305,,,,,,,,,,,,,,,,,2015/04/01,79,340969,vericoin,vericoin
306,,,,,,,,,,,,,,,,,2015/04/02,83,355766,vericoin,vericoin
307,,,,,,,,,,,,,,,,,2015/04/03,120,376641,vericoin,vericoin
308,,,,,,,,,,,,,,,,,2015/04/04,84,413434,vericoin,vericoin
309,,,,,,,,,,,,,,,,,2015/04/05,40,422002,vericoin,vericoin
310,,,,,,,,,,,,,,,,,2015/04/06,77,426605,vericoin,vericoin
311,,,,,,,,,,,,,,,,,2015/04/07,46,418622,vericoin,vericoin
312,,,,,,,,,,,,,,,,,2015/04/08,20,407604,vericoin,vericoin
313,,,,,,,,,,,,,,,,,2015/04/09,33,393985,vericoin,vericoin
314,,,,,,,,,,,,,,,,,2015/04/10,61,385333,vericoin,vericoin
315,,,,,,,,,,,,,,,,,2015/04/11,19,381790,vericoin,vericoin
316,,,,,,,,,,,,,,,,,2015/04/12,31,395074,vericoin,vericoin
317,,,,,,,,,,,,,,,,,2015/04/13,52,415941,vericoin,vericoin
318,,,,,,,,,,,,,,,,,2015/04/14,54,433173,vericoin,vericoin
319,,,,,,,,,,,,,,,,,2015/04/15,44,485221,vericoin,vericoin
320,,,,,,,,,,,,,,,,,2015/04/16,50,510870,vericoin,vericoin
321,,,,,,,,,,,,,,,,,2015/04/17,57,479980,vericoin,vericoin
322,,,,,,,,,,,,,,,,,2015/04/18,128,456340,vericoin,vericoin
323,,,,,,,,,,,,,,,,,2015/04/19,18,460247,vericoin,vericoin
324,,,,,,,,,,,,,,,,,2015/04/20,28,463611,vericoin,vericoin
