,transactions,fee_reward,sent_addresses,block_size,hashrate,median_transaction_size,av_transaction_value,date,tweets,top_100_percent,mining_profitability,difficulty,send_usd,av_transaction_size,google_trends,confirmation_time,median_transaction_value,active_addresses,market_cap,full_name,coin
320,,,,,,,,2015/06/06,null,,,,,,,,,,,viacoin,viacoin
321,,,,,,,,2015/06/07,null,,,,,,,,,,,viacoin,viacoin
322,,,,,,,,2015/06/08,null,,,,,,,,,,,viacoin,viacoin
323,,,,,,,,2015/06/09,2,,,,,,,,,,,viacoin,viacoin
324,,,,,,,,2015/06/10,null,,,,,,,,,,,viacoin,viacoin
325,,,,,,,,2015/06/11,null,,,,,,,,,,,viacoin,viacoin
326,,,,,,,,2015/06/12,1,,,,,,,,,,,viacoin,viacoin
327,,,,,,,,2015/06/13,3,,,,,,,,,,,viacoin,viacoin
328,,,,,,,,2015/06/14,1,,,,,,,,,,,viacoin,viacoin
329,,,,,,,,2015/06/15,3,,,,,,,,,,,viacoin,viacoin
330,,,,,,,,2015/06/16,null,,,,,,,,,,,viacoin,viacoin
331,,,,,,,,2015/06/17,1,,,,,,,,,,,viacoin,viacoin
332,,,,,,,,2015/06/18,1,,,,,,,,,,,viacoin,viacoin
333,,,,,,,,2015/06/19,2,,,,,,,,,,,viacoin,viacoin
334,,,,,,,,2015/06/20,2,,,,,,,,,,,viacoin,viacoin
